NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
California,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
Adelanto city,31760,31667,31891,31139,31273,32602,33052,33343,34066
Agoura Hills city,20330,20335,20492,20585,20643,20713,20819,20755,20692
Alameda city,73812,73968,74750,75775,76640,77688,78583,79199,79177
Albany city,18541,18570,18763,19020,19255,19509,19722,19767,20143
Alhambra city,83117,83180,83685,84309,84570,85074,85173,85615,85396
Aliso Viejo city,48098,48237,48951,49570,50096,50120,50096,51490,51671
Alturas city,2827,2832,2771,2718,2653,2638,2620,2580,2540
Amador City city,182,182,182,181,180,182,186,188,190
American Canyon city,19542,19620,19858,20054,20282,20368,20422,20402,20247
Anaheim city,336440,337177,340511,343102,345019,345959,349732,351661,352497
Anderson city,9932,9940,9991,10029,10092,10162,10156,10173,10370
Angels city,3810,3801,3770,3743,3729,3730,3750,3775,3807
Antioch city,102745,103106,104266,105714,107538,109278,110464,111224,111674
Apple Valley town,69139,69313,70069,70480,70832,71298,71921,72426,73077
Arcadia city,56359,56392,56713,56985,57433,57768,58121,58570,58799
Arcata city,17231,17500,17728,17697,17687,17703,17783,17943,18000
Arroyo Grande city,17279,17298,17367,17542,17720,17884,18053,18088,18123
Artesia city,16522,16523,16589,16667,16724,16808,16895,16895,16904
Arvin city,19304,19349,19697,20099,20310,20564,20828,21104,21270
Atascadero city,28304,28412,28591,28735,29016,29359,29940,30228,30418
Atherton town,6920,6918,6957,7037,7103,7146,7180,7252,7238
Atwater city,28172,28249,28519,28637,28746,28912,29119,29291,29397
Auburn city,13305,13339,13518,13615,13827,13889,13885,13936,13997
Avalon city,3728,3729,3746,3762,3772,3781,3783,3774,3764
Avenal city,15505,15281,15104,14871,14159,13283,13265,12468,12440
Azusa city,46346,46318,46543,47228,47784,48488,49460,49673,49864
Bakersfield city,348119,349322,353836,358317,363998,368461,373253,376944,380874
Baldwin Park city,75397,75441,75834,76351,76573,76639,76726,76566,76402
Banning city,29594,29729,30011,30258,30479,30670,30820,31017,31230
Barstow city,22639,22703,22921,23036,23226,23416,23622,23823,23916
Beaumont city,36800,37200,38474,39277,40349,42028,43532,45228,46967
Bell city,35473,35494,35684,35843,35951,36000,36033,35921,35811
Bellflower city,76610,76630,77006,77359,77601,77778,78081,77918,77772
Bell Gardens city,42053,42067,42257,42724,42825,42861,42912,42872,42747
Belmont city,25835,25880,26199,26561,26832,27083,27265,27233,27140
Belvedere city,2071,2073,2093,2109,2125,2140,2135,2131,2126
Benicia city,26994,27029,27170,27381,27588,27853,28079,28183,28343
Berkeley city,112487,112893,114034,115476,117141,118925,120905,121672,122324
Beverly Hills city,33951,33976,34145,34362,34435,34513,34553,34592,34484
Big Bear Lake city,5018,5029,5073,5101,5118,5152,5196,5227,5262
Biggs city,1705,1706,1693,1691,1691,1693,1692,1698,1711
Bishop city,3879,3872,3848,3842,3838,3828,3796,3757,3760
Blue Lake city,1253,1254,1245,1241,1241,1239,1249,1267,1265
Blythe city,20779,20473,20203,20570,19784,19188,19123,19699,19630
Bradbury city,1048,1048,1058,1066,1077,1078,1084,1081,1093
Brawley city,24963,25034,25272,25561,25632,25785,25854,26163,26390
Brea city,39189,39425,39862,40212,40999,41379,41823,42546,42777
Brentwood city,51624,51823,52753,53592,55021,56978,58905,60688,62433
Brisbane city,4282,4291,4349,4411,4463,4614,4725,4724,4721
Buellton city,4849,4857,4885,4934,4997,5060,5094,5127,5135
Buena Park city,80613,80807,81631,82211,82916,82864,83041,83298,83015
Burbank city,103375,103396,103864,104331,104666,104785,104908,104599,104834
Burlingame city,28806,28847,29287,29695,29994,30334,30523,30502,30686
Calabasas city,23462,23470,23769,23882,24111,24145,24204,24186,24202
Calexico city,38573,38674,39014,39303,39489,39757,39971,40210,40351
California City city,14120,13468,12846,13369,13234,13246,13257,13721,13972
Calimesa city,7885,7923,8004,8104,8213,8392,8504,8630,8817
Calipatria city,7694,7690,7689,7995,7099,7505,7409,7517,7558
Calistoga city,5155,5164,5198,5224,5258,5280,5298,5303,5273
Camarillo city,65176,65293,65606,65807,66068,66736,67446,67468,67845
Campbell city,39343,39448,39841,40393,40781,41164,41150,41198,41544
Canyon Lake city,10561,10609,10714,10805,10887,10975,11038,11121,11223
Capitola city,9908,9918,9967,10018,10077,10130,10185,10197,10180
Carlsbad city,105569,105936,107799,109394,111154,112148,113250,113920,115330
Carmel-by-the-Sea city,3722,3731,3766,3807,3840,3867,3886,3903,3897
Carpinteria city,12997,13011,13034,13174,13498,13610,13653,13653,13622
Carson city,91714,91626,91792,92365,92787,92994,93104,92986,92735
Cathedral City city,51254,51485,52138,52576,52969,53326,53667,54094,54596
Ceres city,45894,45960,46154,46401,46646,47114,47658,48246,48697
Cerritos city,49047,49059,49282,49500,49647,49705,49745,50591,51020
Chico city,86730,86716,87212,87896,88358,89493,90414,91658,93293
Chino city,77972,78563,79547,79959,80846,84383,85282,87599,89797
Chino Hills city,74799,74985,75702,76163,76440,76693,78032,78652,80374
Chowchilla city,18782,18718,18905,18081,17390,18895,18453,18251,18558
Chula Vista city,243920,244693,248540,252843,257248,260561,265008,267203,270471
Citrus Heights city,83261,83365,83903,84489,85123,85891,86759,87380,87931
Claremont city,34870,34900,35217,35341,35727,35814,36076,36022,36015
Clayton city,10918,10961,11156,11288,11501,11689,11857,12022,12150
Clearlake city,15250,15268,15145,15080,15030,15072,15118,15037,15066
Cloverdale city,8634,8642,8678,8700,8754,8797,8823,8829,8803
Clovis city,95834,96261,97515,98640,99735,102056,104014,106550,109691
Coachella city,40724,41007,41926,42652,43057,44003,44473,44916,45443
Coalinga city,18079,18070,18046,16804,16733,16410,16522,16591,16766
Colfax city,1950,1957,1976,1988,1998,2005,1997,2003,2005
Colma town,1443,1445,1463,1483,1498,1511,1522,1521,1514
Colton city,52153,52276,52754,53028,53208,53829,54426,54632,54828
Colusa city,5971,5979,5948,5958,5945,5905,5892,5951,5963
Commerce city,12846,12849,12907,12964,13003,13015,13021,12988,12947
Compton city,96418,96481,97047,97576,97875,97966,98012,97710,97612
Concord city,122154,122521,123588,124840,126088,127346,128464,129172,129783
Corcoran city,24807,24453,24127,23694,23359,22841,22530,22730,21835
Corning city,7663,7680,7645,7616,7556,7518,7528,7546,7592
Corona city,152430,153193,154911,157726,159139,160838,163600,166507,167836
Coronado city,24702,23966,23355,23230,23384,23598,23739,25150,24417
Corte Madera town,9262,9272,9352,9396,9483,9931,9927,9899,9864
Costa Mesa city,110078,110168,111099,111819,112299,112558,112889,113018,113825
Cotati city,7265,7274,7308,7331,7389,7425,7447,7464,7479
Covina city,47792,47804,48022,48322,48484,48705,48756,48611,48462
Crescent City city,7640,7596,7517,7389,7166,6783,6775,6649,6399
Cudahy city,23809,23815,23928,24038,24113,24150,24203,24147,24076
Culver City city,38917,38920,39089,39321,39444,39486,39547,39436,39283
Cupertino city,58572,58719,59244,59915,60356,60751,60624,61016,60777
Cypress city,47860,47965,48445,48773,49089,49078,49150,48989,49064
Daly City city,101116,101293,102558,104116,105217,106163,106773,107112,107074
Dana Point city,33293,33347,33671,33902,34049,34032,34083,34062,33934
Danville town,41849,41981,42392,42846,43321,43883,44360,44756,44786
Davis city,65636,65590,65696,65879,66322,66691,67481,68118,68986
Delano city,53041,53133,53660,52481,52427,52572,52660,52752,53138
Del Mar city,4163,4174,4205,4244,4282,4310,4343,4363,4363
Del Rey Oaks city,1624,1628,1643,1661,1671,1678,1684,1689,1687
Desert Hot Springs city,27052,27174,27445,27675,27879,28082,28228,28483,28757
Diamond Bar city,55552,55584,55900,56198,56374,56458,56634,56827,56665
Dinuba city,21453,21568,22631,22857,23293,23600,23635,23968,24034
Dixon city,18392,18411,18476,18621,18939,19115,19332,19806,20202
Dorris city,939,941,930,915,902,901,905,905,907
Dos Palos city,4950,4963,5009,5028,5040,5066,5108,5248,5445
Downey city,111770,111807,112335,112829,113165,113469,113693,113402,113092
Duarte city,21325,21353,21449,21650,21706,21883,21897,21828,21757
Dublin city,46036,45910,46838,48784,52131,54673,57635,59682,60939
Dunsmuir city,1640,1639,1619,1595,1572,1569,1574,1575,1580
East Palo Alto city,28155,28230,28579,28983,29279,29560,29728,29875,29765
Eastvale city,53683,54053,55056,55816,56537,57798,59783,61369,63211
El Cajon city,99514,99771,100813,101645,102441,102969,103445,103793,103894
El Centro city,42583,42688,43060,43180,43509,43699,43851,44191,44364
El Cerrito city,23586,23651,23863,24110,24367,24599,24939,25494,25515
Elk Grove city,153015,153424,155719,158295,160510,163017,166306,169454,171844
El Monte city,113484,113659,114174,115044,115663,115947,116191,115983,116109
El Paso de Robles (Paso Robles) city,29785,29828,30124,30467,30790,31183,31423,31818,31918
El Segundo city,16654,16658,16736,16832,16900,16956,16956,16911,16853
Emeryville city,10100,10116,10219,10366,10889,11325,11772,11794,11758
Encinitas city,59519,59689,60311,60991,61677,62169,62758,63124,63184
Escalon city,7132,7146,7206,7241,7246,7374,7505,7533,7588
Escondido city,143976,144464,146225,147834,149111,150085,151119,151717,151969
Etna city,737,736,730,722,714,711,713,715,720
Eureka city,27196,27201,27159,26933,26900,26892,26924,27185,27177
Exeter city,10332,10343,10385,10440,10483,10518,10520,10514,10553
Fairfax town,7439,7447,7511,7551,7618,7646,7644,7626,7598
Fairfield city,105398,105557,106257,107579,109255,110913,112642,114776,116266
Farmersville city,10588,10587,10607,10662,10709,10743,10745,10741,10778
Ferndale city,1371,1372,1377,1365,1360,1362,1363,1371,1373
Fillmore city,14991,15021,15096,15154,15271,15374,15509,15637,15812
Firebaugh city,7558,7598,7768,7906,8073,8279,8297,8310,8328
Folsom city,72203,72179,72636,73183,72946,75136,76121,77180,78038
Fontana city,196468,197370,200046,201534,203084,204471,206720,209268,211815
Fort Bragg city,7276,7278,7252,7258,7246,7266,7264,7288,7312
Fort Jones city,710,709,702,692,686,685,685,687,692
Fortuna city,11926,11935,11915,11817,11783,11870,11956,12100,12191
Foster City city,30567,30618,30994,32160,32490,32783,33547,34361,34412
Fountain Valley city,55360,55484,56008,56433,56739,56840,56828,56631,56313
Fowler city,5633,5645,5906,5920,5931,6023,6240,6349,6495
Fremont city,214079,214619,217580,221847,225282,228820,232061,233801,234962
Fresno city,497069,497772,501851,506293,510009,515416,519650,522792,527438
Fullerton city,135239,135333,136531,138388,138977,139243,140437,140968,140392
Galt city,23647,23690,24098,24247,24412,24747,25209,25603,26172
Gardena city,58829,58850,59181,59500,59949,60041,60172,60138,60224
Garden Grove city,170960,171228,173137,174166,174852,174934,174906,175206,174226
Gilroy city,48810,48948,49674,50757,51944,52585,53260,55396,57664
Glendale city,191670,191748,192850,194275,195841,198896,199968,201039,203054
Glendora city,50395,50517,50808,51039,51392,51365,52102,52250,52445
Goleta city,29914,29969,30038,30286,30554,30808,30898,30870,31116
Gonzales city,8165,8190,8261,8345,8397,8433,8462,8492,8479
Grand Terrace city,12040,12066,12165,12262,12328,12366,12422,12490,12595
Grass Valley city,12867,12867,12898,12817,12784,12838,12930,12943,12987
Greenfield city,16334,16419,16570,16738,16837,16909,17147,17472,17517
Gridley city,6587,6581,6554,6555,6555,6579,6575,6583,6608
Grover Beach city,13157,13173,13211,13316,13414,13476,13541,13605,13628
Guadalupe city,7080,7087,7101,7158,7215,7275,7308,7320,7370
Gustine city,5520,5535,5586,5613,5633,5665,5733,5823,5844
Half Moon Bay city,11324,11348,11512,11698,12079,12382,12677,12780,12870
Hanford city,54371,54409,54610,54571,54811,55169,55703,55768,56499
Hawaiian Gardens city,14275,14282,14347,14411,14461,14482,14521,14492,14450
Hawthorne city,84293,84319,85020,85555,86106,87046,88025,88104,87854
Hayward city,144348,144796,146977,149596,151985,154646,158153,159445,160500
Healdsburg city,11254,11312,11360,11409,11507,11637,11735,11840,11840
Hemet city,78728,79202,80382,81246,81969,82817,83606,84419,85160
Hercules city,24089,24153,24363,24606,24848,25086,25304,25444,25545
Hermosa Beach city,19506,19509,19590,19682,19727,19725,19764,19811,19708
Hesperia city,90173,90370,91316,91786,92036,92372,92980,93568,94859
Hidden Hills city,1856,1856,1871,1882,1897,1902,1915,1925,1921
Highland city,53104,53226,53707,54016,54248,54443,54680,54864,55342
Hillsborough town,10825,10849,10997,11138,11273,11394,11477,11497,11486
Hollister city,34741,34916,35272,35727,36197,36690,36984,37579,38404
Holtville city,5936,5952,6004,6020,6039,6276,6384,6439,6597
Hughson city,6640,6656,6711,6852,6995,7188,7334,7416,7498
Huntington Beach city,191037,191342,193184,194563,197588,200188,201300,201004,201874
Huntington Park city,58118,58132,58392,58650,58897,59106,59161,58962,58822
Huron city,6745,6753,6753,6763,6781,6794,6818,6939,7311
Imperial city,14733,14841,15223,15618,16189,16767,17027,17165,17550
Imperial Beach city,26324,26388,26638,26867,27086,27121,27339,27424,27418
Indian Wells city,4958,4983,5044,5095,5146,5203,5266,5333,5404
Indio city,79116,79638,81088,82373,83526,85341,87170,88468,89793
Industry city,217,214,206,204,208,208,205,208,204
Inglewood city,109673,109710,110647,111139,111288,111246,111154,110800,110598
Ione city,7913,7745,7560,7319,6964,6975,6999,7034,7827
Irvine city,212043,213435,220454,229456,236574,247804,256186,266385,277453
Irwindale city,1418,1418,1418,1416,1417,1422,1427,1434,1461
Isleton city,804,805,811,816,820,827,833,839,845
Jackson city,4672,4658,4622,4606,4596,4610,4659,4696,4740
Jurupa Valley city,95005,95625,97274,98495,99643,100276,101669,103440,106028
Kerman city,13567,13637,13892,14314,14338,14373,14463,14586,14932
King City city,12874,12906,13025,13163,13245,13548,13863,13910,14055
Kingsburg city,11397,11409,11511,11602,11669,11703,11775,11804,12002
La Cañada Flintridge city,20248,20256,20362,20455,20519,20514,20501,20484,20413
Lafayette city,23794,23882,24308,24609,25071,25474,25832,26191,26440
Laguna Beach city,22730,22767,22997,23141,23266,23279,23302,23244,23147
Laguna Hills city,30212,30259,30549,30740,30867,30838,31611,31504,31318
Laguna Niguel city,62985,63131,63834,64262,64538,65270,65612,65382,66334
Laguna Woods city,16046,16072,16221,16323,16387,16369,16360,16300,16200
